Province/State,Country,Date last updated,Confirmed,Suspected,Recovered,Deaths
Anhui,Mainland China,1/21/2020 10pm,,3.0,,
Beijing,Mainland China,1/21/2020 10pm,10.0,,,
Chongqing,Mainland China,1/21/2020 10pm,5.0,,,
Guangdong,Mainland China,1/21/2020 10pm,17.0,4.0,,
Guangxi,Mainland China,1/21/2020 10pm,,1.0,,
Guizhou,Mainland China,1/21/2020 10pm,,1.0,,
Hainan,Mainland China,1/21/2020 10pm,,1.0,,
Heilongjiang,Mainland China,1/21/2020 10pm,,1.0,,
Henan,Mainland China,1/21/2020 10pm,1.0,,,
Hong Kong,Hong Kong,1/21/2020 10pm,,117.0,,
Hubei,Mainland China,1/21/2020 10pm,270.0,11.0,25.0,6.0
Hunan,Mainland China,1/21/2020 10pm,1.0,,,
Jiangxi,Mainland China,1/21/2020 10pm,2.0,,,
Jilin,Mainland China,1/21/2020 10pm,,1.0,,
Liaoning,Mainland China,1/21/2020 10pm,,1.0,,
Ningxia,Mainland China,1/21/2020 10pm,,1.0,,
Shandong,Mainland China,1/21/2020 10pm,1.0,,,
Shanghai,Mainland China,1/21/2020 10pm,9.0,10.0,,
Sichuan,Mainland China,1/21/2020 10pm,2.0,1.0,,
Taiwan,Taiwan,1/21/2020 10pm,1.0,,,
Tianjin,Mainland China,1/21/2020 10pm,2.0,,,
Yunnan,Mainland China,1/21/2020 10pm,1.0,,,
Zhejiang,Mainland China,1/21/2020 10pm,5.0,16.0,,
,Japan,1/21/2020 10pm,1.0,,,
Washington,US,1/21/2020 10pm,1.0,,,
,South Korea,1/21/2020 10pm,1.0,,,
,Thailand,1/21/2020 10pm,2.0,,,
Anhui,Mainland China,1/22/20 12:00,1.0,4.0,,
Beijing,Mainland China,1/22/20 12:00,14.0,,,
Chongqing,Mainland China,1/22/20 12:00,6.0,,,
Fujian,Mainland China,1/22/20 12:00,1.0,,,
Gansu,Mainland China,1/22/20 12:00,,,,
Guangdong,Mainland China,1/22/20 12:00,26.0,1.0,,
Guangxi,Mainland China,1/22/20 12:00,2.0,1.0,,
Guizhou,Mainland China,1/22/20 12:00,1.0,,,
Hainan,Mainland China,1/22/20 12:00,4.0,,,
Hebei,Mainland China,1/22/20 12:00,1.0,,,
Heilongjiang,Mainland China,1/22/20 12:00,,1.0,,
Henan,Mainland China,1/22/20 12:00,5.0,,,
Hong Kong,Hong Kong,1/22/20 12:00,,117.0,,
Hubei,Mainland China,1/22/20 12:00,444.0,,28.0,17.0
Hunan,Mainland China,1/22/20 12:00,4.0,,,
Inner Mongolia,Mainland China,1/22/20 12:00,,,,
Jiangsu,Mainland China,1/22/20 12:00,1.0,,,
Jiangxi,Mainland China,1/22/20 12:00,2.0,,,
Jilin,Mainland China,1/22/20 12:00,,1.0,,
Liaoning,Mainland China,1/22/20 12:00,2.0,,,
Macau,Macau,1/22/20 12:00,1.0,,,
