province,country,last_update,confirmed,suspected,recovered,deaths,date,location,is_china,active
Hong Kong,Hong Kong,2020-01-21 22:00:00,0,117,0,0,2020-01-21,"Hong Kong, Hong Kong",False,0
,Japan,2020-01-21 22:00:00,1,0,0,0,2020-01-21,Japan,False,1
Anhui,Mainland China,2020-01-21 22:00:00,0,3,0,0,2020-01-21,"Anhui, Mainland China",True,0
Beijing,Mainland China,2020-01-21 22:00:00,10,0,0,0,2020-01-21,"Beijing, Mainland China",True,10
Chongqing,Mainland China,2020-01-21 22:00:00,5,0,0,0,2020-01-21,"Chongqing, Mainland China",True,5
Guangdong,Mainland China,2020-01-21 22:00:00,17,4,0,0,2020-01-21,"Guangdong, Mainland China",True,17
Guangxi,Mainland China,2020-01-21 22:00:00,0,1,0,0,2020-01-21,"Guangxi, Mainland China",True,0
Guizhou,Mainland China,2020-01-21 22:00:00,0,1,0,0,2020-01-21,"Guizhou, Mainland China",True,0
Hainan,Mainland China,2020-01-21 22:00:00,0,1,0,0,2020-01-21,"Hainan, Mainland China",True,0
Heilongjiang,Mainland China,2020-01-21 22:00:00,0,1,0,0,2020-01-21,"Heilongjiang, Mainland China",True,0
Henan,Mainland China,2020-01-21 22:00:00,1,0,0,0,2020-01-21,"Henan, Mainland China",True,1
Hubei,Mainland China,2020-01-21 22:00:00,270,11,25,6,2020-01-21,"Hubei, Mainland China",True,239
Hunan,Mainland China,2020-01-21 22:00:00,1,0,0,0,2020-01-21,"Hunan, Mainland China",True,1
Jiangxi,Mainland China,2020-01-21 22:00:00,2,0,0,0,2020-01-21,"Jiangxi, Mainland China",True,2
Jilin,Mainland China,2020-01-21 22:00:00,0,1,0,0,2020-01-21,"Jilin, Mainland China",True,0
Liaoning,Mainland China,2020-01-21 22:00:00,0,1,0,0,2020-01-21,"Liaoning, Mainland China",True,0
Ningxia,Mainland China,2020-01-21 22:00:00,0,1,0,0,2020-01-21,"Ningxia, Mainland China",True,0
Shandong,Mainland China,2020-01-21 22:00:00,1,0,0,0,2020-01-21,"Shandong, Mainland China",True,1
Shanghai,Mainland China,2020-01-21 22:00:00,9,10,0,0,2020-01-21,"Shanghai, Mainland China",True,9
Sichuan,Mainland China,2020-01-21 22:00:00,2,1,0,0,2020-01-21,"Sichuan, Mainland China",True,2
Tianjin,Mainland China,2020-01-21 22:00:00,2,0,0,0,2020-01-21,"Tianjin, Mainland China",True,2
